"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
6,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
7,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
8,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
9,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
10,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
11,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
12,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
13,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
14,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
15,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
16,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
17,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
18,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
19,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
20,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
21,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
22,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
23,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
24,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
25,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
26,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
27,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
28,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
29,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
30,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
1,5,0.3,0.1,0.05,0.05,0.5,0.00709476040583793,0.0952562601486773
2,5,0.3,0.1,0.05,0.05,0.5,0.00361988558064081,0.091470008329855
3,5,0.3,0.1,0.05,0.05,0.5,0.00246607131669919,0.0928642522715006
4,5,0.3,0.1,0.05,0.05,0.5,0.00116344481059202,0.09296768881017
5,5,0.3,0.1,0.05,0.05,0.5,0.000145405667090496,0.092854332243505
6,5,0.3,0.1,0.05,0.05,0.5,0.00101391483122451,0.0954170804341721
7,5,0.3,0.1,0.05,0.05,0.5,-0.0043863950591443,0.0960319781122081
8,5,0.3,0.1,0.05,0.05,0.5,-0.0020686624961188,0.0957771086973688
9,5,0.3,0.1,0.05,0.05,0.5,-0.00057589328968022,0.0964506514377372
10,5,0.3,0.1,0.05,0.05,0.5,0.00104109617167701,0.0980202231440206
11,5,0.3,0.1,0.05,0.05,0.5,-0.00221441123729045,0.100243177430829
12,5,0.3,0.1,0.05,0.05,0.5,-0.00751109861593,0.104096588929448
13,5,0.3,0.1,0.05,0.05,0.5,-0.0100016164114186,0.106745933555549
14,5,0.3,0.1,0.05,0.05,0.5,-0.00819968949338179,0.098157040651464
15,5,0.3,0.1,0.05,0.05,0.5,-0.00819914293225905,0.0991316243453423
16,5,0.3,0.1,0.05,0.05,0.5,-0.00496922087508186,0.0998448756778418
17,5,0.3,0.1,0.05,0.05,0.5,-0.00402276131055855,0.10112664103108
18,5,0.3,0.1,0.05,0.05,0.5,-0.00117235045723126,0.104091588803285
19,5,0.3,0.1,0.05,0.05,0.5,0.000194607115806213,0.107667642758638
20,5,0.3,0.1,0.05,0.05,0.5,-0.00206081595883936,0.105635198789715
21,5,0.3,0.1,0.05,0.05,0.5,-0.00210763916642934,0.106526557544958
22,5,0.3,0.1,0.05,0.05,0.5,-0.00350504926760933,0.110328140598568
23,5,0.3,0.1,0.05,0.05,0.5,-0.00346720210745406,0.10945617687675
24,5,0.3,0.1,0.05,0.05,0.5,-0.00490004168669395,0.112280594366683
25,5,0.3,0.1,0.05,0.05,0.5,-0.00424184155358143,0.109097630068129
26,5,0.3,0.1,0.05,0.05,0.5,0.00129634182451702,0.109575573064935
27,5,0.3,0.1,0.05,0.05,0.5,-0.000190173626483279,0.111638249470965
28,5,0.3,0.1,0.05,0.05,0.5,-0.00154149211308365,0.107378163776847
29,5,0.3,0.1,0.05,0.05,0.5,-0.00671857179439581,0.107752314620166
30,5,0.3,0.1,0.05,0.05,0.5,0.00205061656359075,0.102853167175992
1,6,0.3,0.1,0.05,0.05,0.7,0.00504275430413487,0.102485699252933
2,6,0.3,0.1,0.05,0.05,0.7,0.0105326876292919,0.101815473320377
3,6,0.3,0.1,0.05,0.05,0.7,0.0111705084509539,0.102264730533374
4,6,0.3,0.1,0.05,0.05,0.7,0.009769432887218,0.100281609135834
5,6,0.3,0.1,0.05,0.05,0.7,0.00845258393736417,0.105219104721702
6,6,0.3,0.1,0.05,0.05,0.7,0.0120823648332897,0.10451753193672
7,6,0.3,0.1,0.05,0.05,0.7,0.0112255688064496,0.108813465854165
8,6,0.3,0.1,0.05,0.05,0.7,0.00424878320922483,0.106738524261355
9,6,0.3,0.1,0.05,0.05,0.7,0.00381911737662172,0.110128177292393
10,6,0.3,0.1,0.05,0.05,0.7,0.00737824132683171,0.107777331233
11,6,0.3,0.1,0.05,0.05,0.7,0.00994464369097177,0.101243146244906
12,6,0.3,0.1,0.05,0.05,0.7,0.011479461338625,0.102635355422316
13,6,0.3,0.1,0.05,0.05,0.7,0.00657527437468014,0.0974641740635255
14,6,0.3,0.1,0.05,0.05,0.7,0.00422400934895078,0.100258809178998
15,6,0.3,0.1,0.05,0.05,0.7,0.003767767721495,0.0956497601735961
16,6,0.3,0.1,0.05,0.05,0.7,0.0104615729377057,0.0950767925223823
17,6,0.3,0.1,0.05,0.05,0.7,0.00571165367535141,0.0965759374561129
18,6,0.3,0.1,0.05,0.05,0.7,0.00762216362798929,0.0978480503200777
19,6,0.3,0.1,0.05,0.05,0.7,0.00686387747838329,0.0963484850013075
20,6,0.3,0.1,0.05,0.05,0.7,0.00535169111884674,0.0960338522311826
21,6,0.3,0.1,0.05,0.05,0.7,0.00141375626894734,0.0978928221704735
22,6,0.3,0.1,0.05,0.05,0.7,-0.00256103130117026,0.0994998444310204
23,6,0.3,0.1,0.05,0.05,0.7,-0.00082988065873824,0.0968640111621012
24,6,0.3,0.1,0.05,0.05,0.7,-0.000117842056076168,0.0964732805287081
25,6,0.3,0.1,0.05,0.05,0.7,0.00158760323855535,0.095306688421062
26,6,0.3,0.1,0.05,0.05,0.7,0.00263319912556839,0.0976150038902207
27,6,0.3,0.1,0.05,0.05,0.7,0.00332573179484609,0.0937389311290938
28,6,0.3,0.1,0.05,0.05,0.7,0.00274409162203215,0.0920572702373882
29,6,0.3,0.1,0.05,0.05,0.7,0.0030320225825685,0.0909436174494439
30,6,0.3,0.1,0.05,0.05,0.7,0.00480523691107028,0.0922151397249286
1,7,0.3,0.1,0.05,0.1,0.5,0.00665661589495926,0.098094933367238
2,7,0.3,0.1,0.05,0.1,0.5,0.0056143055706746,0.0999312094398996
3,7,0.3,0.1,0.05,0.1,0.5,0.00657218771032775,0.103893081254234
4,7,0.3,0.1,0.05,0.1,0.5,0.00926001023174472,0.100954578248395
5,7,0.3,0.1,0.05,0.1,0.5,0.00720796986995446,0.0988839134413565
6,7,0.3,0.1,0.05,0.1,0.5,0.00425928611915676,0.100634570526041
7,7,0.3,0.1,0.05,0.1,0.5,0.0120027349430648,0.102766474132633
8,7,0.3,0.1,0.05,0.1,0.5,0.0100078466251009,0.100110505184311
9,7,0.3,0.1,0.05,0.1,0.5,0.00675801578954516,0.103646818272945
10,7,0.3,0.1,0.05,0.1,0.5,0.00646760581587691,0.10305697092679
11,7,0.3,0.1,0.05,0.1,0.5,-0.000435027446662794,0.101628351640705
12,7,0.3,0.1,0.05,0.1,0.5,-0.00276334616068805,0.100007663370037
13,7,0.3,0.1,0.05,0.1,0.5,0.00256842829773865,0.0981613444908971
14,7,0.3,0.1,0.05,0.1,0.5,-0.00211217832766898,0.100850365939369
15,7,0.3,0.1,0.05,0.1,0.5,-0.00378706888318876,0.0977027065596388
16,7,0.3,0.1,0.05,0.1,0.5,-0.00409527787996819,0.100657679152307
17,7,0.3,0.1,0.05,0.1,0.5,-0.000675505747841457,0.104450316362896
18,7,0.3,0.1,0.05,0.1,0.5,-0.00315653323432315,0.104759346808706
19,7,0.3,0.1,0.05,0.1,0.5,-0.0011233879232544,0.106824189081537
